测试套/软件包名,测试用例名,状态,日志文件,原因,负责人
nftables,oe_test_nftables_anonymous_map,x86 fail,https://github.com/KotorinMinami/res_list/blob/master/mugen-riscv/logs/nftables/oe_test_nftables_anonymous_map/2023-04-26-11:36:32.log,x86 fail,
nftables,oe_test_nftables_backup_rules,x86 fail,https://github.com/KotorinMinami/res_list/blob/master/mugen-riscv/logs/nftables/oe_test_nftables_backup_rules/2023-04-26-11:40:43.log,x86 fail,
novnc,oe_test_novnc,x86 fail,https://github.com/KotorinMinami/res_list/blob/master/mugen-riscv/logs/novnc/oe_test_novnc/2023-04-26-12:03:46.log,x86 fail,
rasdaemon,oe_test_service_ras-mc-ctl,fail,https://github.com/KotorinMinami/res_list/blob/master/mugen-riscv/logs/rasdaemon/oe_test_service_ras-mc-ctl/2023-04-26-22:25:28.log,初始化EDAC v3.0.0 Drivers 失败,黄烁
rsyslog,oe_test_rsyslog_reliability_tcp,x86 fail,https://github.com/KotorinMinami/res_list/blob/master/mugen-riscv/logs/rsyslog/oe_test_rsyslog_reliability_tcp/2023-05-22-22:36:59.log,x86 fail,
rsyslog,oe_test_rsyslog_function_udp,x86 fail,https://github.com/KotorinMinami/res_list/blob/master/mugen-riscv/logs/rsyslog/oe_test_rsyslog_function_udp/2023-05-22-22:41:40.log,x86 fail,
rsyslog,oe_test_rsyslog_reliability_network,x86 fail,https://github.com/KotorinMinami/res_list/blob/master/mugen-riscv/logs/rsyslog/oe_test_rsyslog_reliability_network/2023-05-22-22:47:22.log,x86 fail,
rsyslog,oe_test_rsyslog_abnormal_template,x86 fail,https://github.com/KotorinMinami/res_list/blob/master/mugen-riscv/logs/rsyslog/oe_test_rsyslog_abnormal_template/2023-05-22-22:30:13.log,x86 fail,
rsyslog,oe_test_rsyslog_function_tcp_firewall,x86 fail,https://github.com/KotorinMinami/res_list/blob/master/mugen-riscv/logs/rsyslog/oe_test_rsyslog_function_tcp_firewall/2023-05-22-22:46:20.log,x86 fail,
rsyslog,oe_test_rsyslog_function_httpd,x86 fail,https://github.com/KotorinMinami/res_list/blob/master/mugen-riscv/logs/rsyslog/oe_test_rsyslog_function_httpd/2023-05-22-22:43:28.log,x86 fail,
rsyslog,oe_test_rsyslog_function_tcp,x86 fail,https://github.com/KotorinMinami/res_list/blob/master/mugen-riscv/logs/rsyslog/oe_test_rsyslog_function_tcp/2023-05-22-22:35:31.log,x86 fail,
rsyslog,oe_test_rsyslog_function_relp,x86 fail,https://github.com/KotorinMinami/res_list/blob/master/mugen-riscv/logs/rsyslog/oe_test_rsyslog_function_relp/2023-05-22-22:28:36.log,x86 fail,
rsyslog,oe_test_rsyslog_function_attribute,x86 fail,https://github.com/KotorinMinami/res_list/blob/master/mugen-riscv/logs/rsyslog/oe_test_rsyslog_function_attribute/2023-05-22-22:27:34.log,x86 fail,
rsyslog,oe_test_rsyslog_reliability_lenght,x86 fail,https://github.com/KotorinMinami/res_list/blob/master/mugen-riscv/logs/rsyslog/oe_test_rsyslog_reliability_lenght/2023-05-22-22:38:41.log,x86 fail,
realmd,oe_test_service_realmd,fail,https://github.com/KotorinMinami/res_list/blob/master/mugen-riscv/logs/realmd/oe_test_service_realmd/2023-04-26-22:42:34.log,Failed to load module: /usr/lib64/gio/modules/libgioremote-volume-monitor.so and Failed to load module: /usr/lib64/gio/modules/libgvfsdbus.so，对应文件夹中没有来那两个模块文件,黄烁
smoke-baseinfo,oe_test_dmesg_messages_log,x86 fail,https://github.com/KotorinMinami/res_list/blob/master/mugen-riscv/logs/smoke-baseinfo/oe_test_dmesg_messages_log/2023-04-29-02:37:20.log,x86 fail,
